time	distance	speed
589239.1928660823	149157839099.46445	25083.837175756522	
627652.0324517434	149108055861.29877	25094.321542317954	
666030.4560925249	149055735833.8966	25105.413554207506	
707792.6216516219	148995018341.70786	25118.255986270557	
747839.057344985	148934326927.3738	25131.22422631542	
786414.8976021134	148873538269.26602	25144.325023864065	
826173.7595719802	148807866883.913	25158.505852900584	
864251.5187617613	148742751007.88345	25172.678639289865	
902375.7289200942	148674992032.57352	25187.48130590245	
941074.2419623566	148603466300.6554	25203.14459914272	
979362.0862144552	148530203553.55374	25219.255500166833	
1017778.3040523767	148454075911.7131	25236.04495050211	
1060159.32319706	148366070715.03806	25255.375216441367	
1098631.4933380089	148284354400.8858	25273.50500166818	
1136420.2008189282	148201713135.7832	25291.909844133355	
1175169.598785831	148114140004.4664	25311.429901750926	
1213553.3009457642	148024876661.267	25331.386764080118	
1252073.1888998654	147932662051.88757	25352.046200843884	
1290372.0124718046	147838443128.7679	25373.208277619386	
1328933.9174383655	147740911655.2812	25395.151680520285	
1366842.7640152255	147642635840.02286	25417.328591427795	
1407952.08232539	147532409465.6799	25442.13760086303	
1455580.1606496647	147399100367.2386	25471.941489654084	
1493456.2804077715	147292495336.53662	25496.147911706004	
1531842.9385384317	147181763321.83807	25521.317643577633	
1570312.786130952	147068176191.55115	25547.17765653055	
1613297.879007591	146936994044.64508	25576.924217169064	
1650423.6044828005	146822418663.5827	25603.144224255557	
1688452.3790148362	146702337699.59152	25630.635096009242	
1734777.085389667	146550265753.99258	25665.163590414188	
1773830.1037782934	146420891909.39468	25694.84638582624	
1822942.5433315502	146251341538.83368	25733.367168288452	
1877777.9788101574	146055088377.47824	25777.775947163722	
1939677.9905601528	145824494436.66833	25829.70518896014	
2005573.3959415376	145569984571.41202	25886.962007609956	
2075802.443217078	145288442732.11505	25950.238010739173	
2156894.2883856003	144947055853.2549	26026.461805022467	
2233649.581657895	144615378518.9113	26101.11479695579	
2307986.735467088	144285430041.9077	26175.81511793534	
2381588.3956916938	143949541157.64465	26252.175084069648	
2455676.707504771	143601611922.7363	26331.508802998826	
2530066.1630799808	143242451580.26218	26413.660803851628	
